I'm not lying .	0,5
We've no other choice .	5
Designed to make your life a more annoying place to be .	0
How do you know we can trust her ? She's had your fingers before , [PERSON] .	2
They'll kill us first .	2
I know you are , but this just got times harder for me to get out of .	2,5
He could go anytime . - Move . Move !	0
I am not prepared for wells to run dry !	2
This has been a long week , Dr. [PERSON] .	5
Y - You mean we're gettin' off this submarine ?	2
Now , that's original .	6
I'll hit him !	0
Mrs. [PERSON] !	3,6
Not an idiot ?	6
Monsters devouring human flesh .	0,1,2,5
Pretty fresh .	3
You know this guy ? - Yeah .	6
Yeah , I mind .	0
Honey , babe .	3
Yes , but if we use it , we'll win .	0
That was good .	3
Come on . Go , just go .	0
We're free .	3
With a ring like that I could , dare I say it , rule the world .	3
And I want [PERSON] and [PERSON] ... dead !	0
I'm not afraid of you .	0
One night , knowing his wife is out ... He calls her and begs her to see him again .	5
Looks a lot like your house , doesn't it ?	6
What the fuck ?	0
Whiskey .	3
We'll show them you're not afraid .	0
Except the way she was killed .	2
Well , well , well . What do we have here ?	1
Well , I - I believe ... I believe things have gone far enough .	2
Nothing's impossible .	3
How's it feel to have the woman you've wronged cloak your sins ?	1
In other words , these guys got to get out of their ivory towers .	0
She was so kind of offering hospitality to seven of my compatriots , refugees of our birth - place .	3
I'm leaving .	5
No need to shove !	1
Are you ?	6
How can you stand there dripping all over their lobby with no heel , no luggage , and say it's my fault we have no room ?	1
But , she can be very generous sometimes .	3
[PERSON] , it's getting late .	0
Are you taking care of yourself ?	2
[PERSON] , get real !	3
I'm quitting the game , [PERSON] .	0
But that is not true .	5
It hurts , but he doesn't show it .	5
Everyone at work knows that I'm lying .	2,5
It was hideous .	1
Don't be a fool .	1
She ought to be melted down for razor blades .	0,1
You are far prettier than I ever imagined .	3
Oh , is this the breathtaking view ?	3
Did not it have to be resting ? Yes .	0
You know something ? Off the screen , I don't think I've ever seen you laugh before .	6
Isn't she pretty ?	3
You've got the part , [PERSON] .	3,6
We've created a problem .	2
No , I think it's a lot more exciting than that .	3
Easy , brother .	6
Captain , I'm glad you're back .	3
Don't fuck me up .	0
It's kind of the hardest part of all these 'cause he doesn't -- He don't know why we're here .	2
This presumptuous little flirtation is over .	1
Maybe you should have let Mother make her own choice .	0
Who the hell are you working for ?	0
Kiss my ass .	0
I won't have this conversation carried on by the children .	0
My scarf . Where's my -- ?	6
Stay where you are !	0
What the hell do you think that I do ?	0
Grandfather , I think it's a good day to die .	5
It don't hurt having ' an angel on your side .	2
I'm saved !	3
Anyway , I practically had to beg her to take plastic , and you know how backed up that is .	2
I just want to get it done .	0
Don't you guys think that'll do it ?	2
Take your hands off there , you old fool .	1
You can't make a dead man's knee jump any more than you can test a corpse's reaction to a prefrontal lobotomy !	1
Come on , [PERSON] .	0
They make me .	2
How can we be absolutely sure the waste disposal is taken care of ?	2
And I'm being asked to brief the CIA director on stuff because he and the president are being lied to ?	0,6
Self - defense .	2
Cause I said so .	0
How about some great , big , triple - A , jumbo eagle eggs ?	3
Looks like we got a slumber party on the third floor .	6
Something's happened .	2
The first time I ask you to do one thing for me , like rob a train ...	0,5
You got one bad seed there .	5,6
I know you're crazy about me .	3
We've been doin' real good .	3
Hey , you're very light on your feet .	3
Anything you say can and will be used against you in a court of law .	0
You'll be told after you sail .	0
That's very rewarding , believe me .	3
You can ride with me in comfort .	3
It affects her every day .	5
You have absolutely no reason to be afraid of the King .	6
You've got a big mouth , Senator .	1
I fucking love it !	3
I've never done anything like that before in my life .	6
I'm not testifying .	0
Drop gun .	0
Can you , can you , can you , meet me , please .	5
We will sue your asses .	0
I warned you !	0,1,2,5
No , it's just ... I read in this thing that's what I'm supposed to do .	2,6
You're a godsend .	2,3
After that , things kind of went downhill .	5,6
There's nothing I can do about it .	5
I guess [PERSON]'s got more sense than both of us .	6
To tell you the truth , [LOCATION] frightens me .	2
He objects , she sustains , every time . The old flame's still burning , huh ?	6
Are you fucking crazy ?	0,1
I'm just tired .	0,1,5
If he found out , he'd insist upon doing it himself if he had the money , which I doubt .	2
I don't think we can hold out that long before they find her .	2
For the hospital , for the seriously sick .	1
You all right , [PERSON] ?	2
I'm terribly sorry .	5
[PERSON] , don't go to him !	2
Where's my mommy ?	2
We never had a nursery , [PERSON] .	5,6
Go get them and get them quick !	2
I'm burning .	2
Maybe if I do you , then I wouldn't care about losing millions of dollars .	5
Not for a little while , no , ma'am .	0,1
Trying to make me crawl and cower and cringe and admit to your monstrous lies .	1
I think it's best . If I don't see you guys anymore .	0
It's superficial .	1
I promised your father I'd take care of you .	5
Oh , shit !	2
A man died from looking at his wife .	2
It's too late for that , [PERSON] .	5
I'll make amends .	2,5
Storm the bastille !	0,2
He said he forgot .	5,6
I think my cook has managed guess what I like .	3,6
You didn't know that about [PERSON] , eh ?	6
I am not the man you thought I was .	1,5
Okay , we need to locate [PERSON]'s father immediately .	2
How stupid of me !	0
Don't come in !	0
They threatened to kill me if I didn't pay .	2
Now look at him .	0
[PERSON] was just telling us what cojones he got .	3
And to my surprise to my deep surprise , it's harder to say goodbye than I thought .	5
Nice day , huh ?	3
He got run over by a car .	5
I hate bankers .	1
Thanks . - Thank you . - Both of you .	3
I've never before known anyone who was really brave .	5
Don't touch me .	0,1
We need to leave now .	2,5
You're just like Grandma , always judging me .	0
Fantastic .	3
[PERSON] , what's your status ? - Hawkins , talk to me !	2,6
You stool for him , fuck .	0,1
We give no quarter to those that are disloyal .	0
Listen , I know why you've come .	2
Well , it can't be helped now .	5
Brave ?	2
Right , Lieutenant ?	6
If you become president , would [PERSON] remain as vice president ?	6
I don't wan na see you split up .	5
Here ... the Revolution started .	3
I'm going to take this directly to [PERSON] .	3
Because he's the future .	3
To Oscar , [PERSON] was heaven - sent :	3
Light has conquered darkness .	3
You're going to set this whole place on fire .	2
It doesn't have to be like this .	5
I do not peek .	0
She killed her husband same as if she shot him .	2
A lie .  	1
Get some sleep .	0,3
Isn't that what this is all about ?	6
It's a hell of a way to impress my new partners .	0,2
Don't go up .	2
Don't touch me unless you love me .	1
Professor , I - I'd like to speak to you .	2
She went in there to find the Hope Diamond . Just because she came out with a piece of glass doesn't mean it wasn't fraud .	2,5
He's an asshole , but you'll get used to him after a while .	6
We should celebrate this with a bottle of wine .	3
We , the hunted , will now hunt !	0
Splendid .	3
You wouldn't have come if you thought I was here .	5
What's all the celebrating ?	6
Wonderful chef .	3
You're a rare specimen	6
Hmm . - ( imitates monkey gibbering )	1
Have you been too little ?	2
Oh , what a delightful child .	3
I'd give my soul to go , but I can't .	5
Where'd you get this , exactly ?	6
Pick it , boy , pick it !	3
So much for old business .	5
Ring the alarm !	2
That'll do it .	3
Don't you raise your voice to me !	0
Sir [PERSON] wants his money , fast !	0,2
Hope you took your Geritol ... 'Cause it's time to dance !	3
It's pretty awful .	0,1
I'm unhappy .	5
Are you confessing to this ?	0
You do realize you're talking about going after an FBI agent ?	2
Anyway , we're late for school .	0
