Senkin hölmö. Paavilla ei ole varamiestä.	0
Nyt minä hoitelen tuon kakaran lopullisesti.	0
Tytöllä on murhanhimoisia ajatuksia.	1
Sinä et tule!	0
Kuinka sinä et ole palanut loppuun?	6
En aio kilpailla siskoni kanssa.	0
En halua päätyä kaltaiseksesi.	1
En tiennyt, että joku tapettaisiin.	2
Rouva on huonona.	3
Ties kuinka monta elinikää saat maksaa sitä.	2
Tämä on teurastusta.	2
Eilinen ei ollut menestys.	5
Ei, ei se noin mennyt.	2,5,6
Niin varmasti...	0
Jos menetämme kontrollin tässä viidakossa, olemme mennyttä.	2
Mutta siitä tulee siis verta.	2
Älkää vain koskeko häneen!	0
Hal, senkin hölmö!	1
Veitte tsaarini, maani, ihmiseni.	0
Tuo on tappajasi.	0,5
Tiedät, että joku haluaa viettää koko loppuelämänsä sinun kanssasi.	6
Se on nykyään harvinaista.	5
Ei, olen lopettanut.	0
Sydämeni tulee surulliseksi.	5
Sainko oman vaatemalliston?	3,6
Mikä helvetti tuo on?	1
Emme ehdi lennolle.	0,6
Virta katkeaa jatkuvasti.	5
Hän pyysi anteeksi.	3,6
Hei, vittu!	0,1,6
Mitä väliä kunnialla on, jos on kuollut?	5
Hän vain esittää Jumalan miestä!	0,1
Koko kuningaskunta kärsii.	5
Etsimme heidän heikot kohtansa.	0
Jos ette mene naimisiin, erotan molemmat.	0
Oikeastaan pidän hänestä.	3,6
Hän on loistava.	3
Se on hyvä.	3
On ihanaa saada sinut takaisin.	3
Kaksi miestä joka lennolle, joka palaa San Juanista.	0
Pääni halkeaa kaikesta veisuusta ja hallelujan hokemisesta.	0
Hyvä tietää, että selvisitte sodasta ehjin nahoin.	3
Se oli laiton liike!	0
Haluan nähdä todisteet.	2
Kuinka järjettömästi te oikein aiotte tuhlata?	5,6
Täällä pidetään ilkeistä juoruista.	1
Kuule, tämä laiva seilaa aivan liian nopeasti.	2
Jos tuolla on niin kaunista, miksi...	3
Vieras alus nähtiin myrskyn pauloissa.	2
Älä puhu hänelle.	0
Käytit sen päätä hiekkasäkkinä.	0,1
Mies, joka lyö rumpua itsestään.	1
Etkö ole itse vastustanut?	6
Tiedän, että voit taistella kun on pakko.	0,5
Pois köysistä!	2
Ja nyt, kunhan saamme taksin voimme viedä suunnitelman päätökseen ja elää hitusen arvokkaasti.	3
Älä näytä kieltäsi minulle!	0
Miten sivilisaatio säilyy - jos se antaa naisen laittaa tuollaisen päähänsä?	1
Se maksaa hänelle paljon enemmän.	0
Voin jo paljon paremmin.	3
Häneltä täräytetään cojonesit pihalle.	0
Onko tuo ainoa sana, jonka se osaa?	6
Heitä on vaikea päihittää.	2
Se kalvaa minua, - aina kun ajattelen sinua...	5
Minä haluan juotavaa!	0
Tämä on hyvä.	3
Otetaan heidät kiinni ja pakotetaan puhumaan.	0
Hän ei luultavasti muista minua.	5
Näpytelkää koodi missä tahansa 200 metrin säteellä, niin pamahtaa.	2
Vain tämä laatikollinen tavaroita on jäljellä hänestä nyt.	5
Senkin ketale!	0
En ole valehdellut sulle.	0,2,5
Samanlaista kuin ennenkin.	6
Minä luovutan.	1,5
Tarkoitan, että miten sä eroat niistä?	1
Häivy täältä, senkin loinen.	1
Mitä paskahommaa tämä on?	0
Yhtäkkiä jostain ilmestyi ritari. Hän ratsasti valkoisella hevosella täyttä laukkaa miekka tanassa!	6
Menkää hiiteen täältä!	0,2
Alun jälkeen odotan innolla tarinan loppua.	1
Meidän on päästävä ulos!	2
Jonna.	3
Sanon, kun saat puhua.	0
Hänet pitäisi ajaa pois.	0
Erottakaa vartijat!	0
Koska sen kuulit?	6
Etkö muista minua?	5,6
Paikallisjärjestön puheenjohtaja perusti tekaistun etuusrahaston.	1
Arpeni näkyvät vieläkin.	5
Onpa hieno solmio.	3
Tässä iässä täytyy miettiä lopettamista.	5
Minähän sanoin, ettei tätä filmiä kannata tehdä.	0,5
Kiitos, Roy.	3
Ei sinun tarvitse selittää minulle tärkeistä asioista.	1
Hampaat muuttuvat keltaiseksi ja irtoavat.	1,2
Löysimme pommin.	2
Ota rahat!	0
Tilinhoitajaa tutkittaessa Rockyn rikosrekisteri pahoinpitelystä putkahti esiin.	1
Amerikkalaiset eivät pidä, että lapsi ryövätään.	1
Kulta, en ole ehtinyt puhua siitä hänen kanssaan...	5
Lopeta, Johnnie.	0
Emme voi jättää häntä.	5
Kiva kuusi.	3
Olemme ystävällisimmät värähtelyt, mitä on nähty.	3
Voimme rentoutua.	3
Miten menee, cowboy?	3
Emme tiedä heistä paljon, mutta heillä on yhteyksiä Hizbollahiin.	2
Tämä on paheen talo, ja minä olen lakastunut kukkanen.	5
Iso yllätys.	6
Oikeutta kaikille.	0
Näytä niille.	6
Melua, mitä tuo on?	6
Barney, olen pahoittanut mielesi, pyydän anteeksi.	1,5
Tämä olento, joka tappaa meidän kummankin miehiä - on toiselta puolelta.	0,1,2
Sinä olet Pimeyden ruhtinas, kaiken pahuuden ruumiillistuma!	0,1
Ja poliisivoimien legenda on kuollut.	5
Nerokasta.	3
Tämä ei auta.	0,2,5,6
Elelen siis omassa viihtyisässä tyytyväisyyden maailmassani.	3
Sinä voisit tehdä sen!	3
Etkö halua juuri sitä?	6
Selvä murha, johon on osallistunut yksi tai useampi ihminen.	1,2,5
Äitisi ei saa kutsua metsänvartijoita.	1
Miten niin ruma?	5
Se voi alkaa mielessä, - mutta sitten se muuttuu lihaksi ja vereksi.	2
Tästä miehestä et pääse eroon yhtä helposti kuin Bakerista.	2
Hänellä tuntui olevan hauskaa.	3
Toinen idealisti.	0,1
Rocky, huhutaan ruumiillisista komplikaatioista.	2
Paholainen halusi minut.	0,1,2,5
Hän pumppaa naamansa täyteen novokaiinia ja alkaa sitten skalpellillaan - viipaloida piirteitään yksitellen.	1
Kerrankin meillä piti olla hauskaa.	0
Jouduin sairaalaan.	2
Emmä tykännyt siitä muutenkaan.	1,5
Vihaan näitä hinttarimaisia donitsejasi!	0,1
Senkin äpärä!	0
Haluan vain oppia läksyni, suorittaa opintoni, olla fiksu ja ruveta papiksi.	5
He ovat kadottaneet kyvyn kommunikoida ja järkensä.	0
Toivottavasti se ei enää tästä pahene.	2
Mitä haluat?	0
He sanovat, että jos pelle pääsee pakoon on osakkeenomistajien etu, että nöyryytyksen kantaa virkamies.	1
Sinuun voisi kyllä ihastua.	3
En näe mitään yölinssillä.	0
Pois tieltä, Frank!	0
Neil Perryn kuolema on tragedia.	5
Voitamme ainakin aikaa.	3
Junior joutuu jo ala-asteikäisenä linnaan!	5
Ei nyt.	0
Emme aio sallia sitä.	0
Älkää yrittäkökään tulla väliimme, välkky.	1
Sitä paitsi haluan tämän jutun itselleni.	0
Tiedän miksi. Hautasit pääsi hiekkaan.	1
Yhteisen omaisuuden malja.	3
Siellä oli kaaos.	1
Mene, lähde pois täältä.	0,2
Hänet tappanut saa maksaa.	0
Pidän sinua silmällä.	0
Se ei millään käy.	0
Olisi hyvä, jos voisimme olla ikuisesti näin.	3
Lopeta tekeminen.	0,1
He tekevät nauhoilla mitä haluavat.	0
Kuolette tänne ylös.	5
Minä kysyn, nyökätkää tai pudistakaa päätä.	0
Edes jonkin kadun nimeä?	6
Vau.	3,6
Ei oikeastaan.	3
Haistan isäsi.	1
Älä ole niin alentava!	0,1
Ei, älä Victor.	2,5
Kuningas vain haluaa, että yksi hänen alamaisistaan avaisi sydämensä hänelle.	6
Älä painosta minua liikaa, Donatella.	0
En halua olla vaivaksi.	5
Mayii!	3
Syökö hän vielä muroja sormin?	1
Hyvännäköinen kuva.	3
En halua kuulla sanaakaan enää.	0,1
Nämä kaverit ovat vaarallisia.	2
Frank!	3,6
Niin minäkin sinua.	3,5
Vielä enemmän kuin nyt?	6
Et saa joutua täällä vaikeuksiin.	2,5
Minä en rupea hautomaan noita munia.	0,1,5,6
En tiennyt, että jokainen kelloista oli kymppitonnin arvoinen...	6
Kipeää, kipeää, kipeää.	5
Miten siellä pärjätään?	2
En tahdo...	2
Onpa tosi ikävää, että lähditte.	1,5
Hän on loukkaantunut!	2
En selviä kuivista kaivoista!	2
Jos kosket sormellasikaan tuohon avuttomaan tyttöparkaan, häpäiset itsesi ikiajoiksi.	1
Mitä tämä oranssi rusetti tässä tekee?	6
Minä satutan sinua.	0,1,5
Puhtaana!	3
En aio todistaa.	0,2,5,6
Hän vain keikuttaa Ianteita ja heiIuttaa takapuoIta.	1
Taidan katsastaa tuon naisen palkkapäivänä.	1
Tämä oli toinen kahdesta kerrasta, jolloin häneltä löytyi piilotettu ase.	0
Helikopteria on ammuttu!	2
Niitä ei voi täysin pysäyttää, mutta voimme estää yksittäisiä paskiaisia.	0,5
Leonardo sai piikin puolen tunnin välein kivun lievitykseen.	5
Hankkikaa vankeja, onko selvä?	0
Äidit ovat kohdelleet tyttäriään väärin aina aikojen alusta asti.	1,5
Hän vastustelee.	0,1
Mieheni on lopettanut.	3
Se ei syö pihviä.	0
Lopeta, Kit. Alat olla kitisijä.	0
Olisit sanonut jotain.	0
Ja minun laboratoriossani ei laiteta tuollaisia aivoja minun kyborgiini.	1
Taisin loukata häntä.	2,5
On silti mukava palata kotiin.	3
Et siis ollut vihainen, kun en tullut?	6
Toivon kaikkein eniten maailmassa, että sinä eläisit, Atreyu.	5
Luojan tähden, voisit ainakin yrittää valehdella.	5
Täydellinen päivä aamiaiselle ja sunnuntailehdelle.	3
Sano, etteivät ne ole skeidaa.	0
Sanoin, että hänen vaimonsa on lesbo.	1
Mitä pirua tämä kaikki tarkoittaa?	0
Koska olin raivoissani.	0
Käytöksesi on niin ennustettavissa.	1
Missä pirussa olen?	2
En minä sinua pelkää.	0
Älä liioittele.	0
Tehkää jotain. Vedämme niitä tänne.	1,2
Minusta sinä olet hyvin älykäs ja ainutlaatuinen nainen.	3
Mä luin siitä, miten et saanut tilaisuutta.	5
Selvisit hyvin.	3
Hän ilmoitti hoville aamulla, ettei hän palaa sieltä, ellet sinä tule hänen luoksensa.	2,5
Hän meni verkon läpi.	6
Olet surullinen, mutta kouluun on mentävä.	5
Minulla meni lujaa.	3
Tämä on suurin koskaan näkemäni poliisiauto.	6
Minullehan se kuuluu jos kellekään.	0
Eipäs!	0
Saat sydämeni mutta minua et milloinkaan.	5
Se on mennyttä, eilisen heiniä.	5
Lapset tarvitsivat pallokentän ja minä tein sen.	3
Voi Rusty...	5
Heität rahat tänne, ja vapautan Juniorin.	2,5
Eikä hän saa nahkaani.	0
Fantastinen.	3
Häivytään täältä!	2
Hän varasti minulta!	0
Herra Koreander?	2
Mutta sinä olet turvassa.	3
Ja pirusti.	0,2
Tuo kitinä vie kaikilta hermot.	0
Pirulauta sentään.	0
Haluan, että kaikki poltetaan.	1
Älkää katsoko minua noin.	0
Yritätkö sanoa, että haluat televisioon esiintymään?	6
Äitisi on tässä Noriegan kanssa!	3
Hyvät naiset ja herrat, saavumme Sydneyyn.	3
Ole hiljaa ja kuuntele.	0
Tämä haiskahtaa peittely-yritykseltä.	0,2
Ajattelin vain, että he tappavat minut.	2
Eräs hyvä ystäväni antoi sen minulle.	3
Mekkosi on upea.	3
Sattuu vain hiukan.	5
Sitä ei voi pysäyttää - tai korvat menevät lukkoon ja nenä alkaa juosta.	2
Mikä hemmetissä tuo on?	1,2
En voinut kuvitella ampuvani Rege-enoa.	1,5
Emme odottaneet teitä vielä varttituntiin.	6
Minun on pakko tehdä tämä.	1,5
Rouva Balboa ilmestyi!	3,6
Rakastan sinua, pikku Leonitchka.	3
Mutta Sam on poissa.	5
Jarruta!	2
Mutten kykene ilmaisemaan itseäni tarpeeksi yksinkertaisesti.	1
Jos hän kertoi Barleylle, miksei Barley kerro meille?	0,5
Pyydän vain pitämään silmiäsi auki, muiden yläpuolella. Katso tuota paholaista.	1
Alkaa olla tosi valoisaa.	3
Ärsyttävätkö ne kuhertelijat sinuakin?	1
Varmaan jossain vikittelemässä kaunista naista.	0,1,5
Olet jättänyt huomiotta muitakin tärkeitä seikkoja.	0
Pidän lauantaina synttärijuhlat.	6
Tiedä häntä, Graham. Nämä nuoret kukkoilijat...	0,1,5,6
Hyvänen aika.	1,6
Jos muistat sen, kaikki menee hyvin.	2
Ettekö halua jatkaa soittoanne?	2,6
Uutiskuvista ei ollut paljon apua.	5
Mitä hittoa se tarkoittaa?	0
Ehkä ette tiedäkään, että silta on nyt minun komennon alla.	0
En voi uskoa, että oksensin rehtori Wormerin edessä.	5
Onko sinusta parempi meille kaikille, että muutat pois?	5
Sinusta on tulossa zombi.	2
Ehkä myöhemmin.	5
Duden sietäisi hävetä.	1
Sinun täytyy olla realisti.	0
Kyllä sitä tulee.	3
Luulen että sinä tiedät, kuka syyllinen on.	1,5
Dan Lipranzer ja Rusty Sabich tekevät työtä vuorotta - löytääkseen Raymondille murhaajan.	0
Meidän pitäisi lähteä ennen kuin on liian myöhäistä.	2
Etkö saanut ottaa sitä mukaasi?	1,5,6
En anna hänen teurastaa Loria.	0,1
Voi hyvä jumala.	0,1,2,6
Olisinpa saanut hänet ymmärtämään.	5
Pidän tacoista ja oluesta.	3
Antakaa anteeksi. - Teidän on annettava minulle anteeksi, kreivitär.	0,5
Liikettä!	0,1,2
En ymmärrä miksi yhtiö, joka häviää, samalla voittaa siirtojen ja poistojen muodossa.	6
On hirveää, että pahoja asioita tapahtuu - eikä kukaan voi muuta kuin katsoa vierestä.	5
Se on mennyttä, eikä minulla ole enää varaa maksaa palkkaasi.	5
Kiitos, Joe.	3
Sinä se et muutu koskaan.	5
Pelkään sinua, kun vihjailet asioita.	2
Danny, auta minut pois täältä hemmetin katolta.	0
Olisit voinut hälyttää meidät!	0
Mitä sinä täällä koisit?	0
Anna se hiton mikki.	0
Onko se vapautta että nainen voi levitellä jalkojaan lehdessä?	1
Hän on huono-onninen kuski.	5
Tuo oli parasta, mitä olen kuullut koko päivänä.	3,6
Uusi laji. Vain loppusummalla on väliä.	1,6
Kurjat hirviöt!	5
Hänellä ei ole varaa myötäjäisiin.	5
Mitä vittua sinä höpiset?	0
Jonain päivänä minä laitan hänet... - Kuningas on kuningas ja sinun isäsi.	0
Minun oikeussalissani ei puhuta todisteista, joita ei löydetä.	0,1
Olisinpa 36-vuotias nainen mustassa satiinissa ja helmissä!	5
Kaikki voimani ovat menneet.	5
En erota poikaa ovipalkista.	1
Tuotit minulle pettymyksen, Mike.	0,5
Kallistuvaa runkoa ei löydy hetkessä.	5
Mamma...	5
Ilo oli minun.	3
Se on kuulemma tosi hyvä.	3
Tuotit jo toisen pettymyksen.	0,5
Ihmettelen vain valtavaa onneasi.	0
Miten voit puhua rakkaudesta, sanoa kaiken sanomasi, kun olet itse menossa naimisiin.	5
Suu kiinni, vittupää.	0
Kuka on onnellinen isä?	3
Te puhutte mielettömiä.	1
Muistakaakin lähteä pois.	0
Hän yritti sitäkin, mutta äiti oli kuollut jo 10 vuotta sitten.	5
Joka tapauksessa, Inglethorp sai tietää, että testamenttia on muutettu - ja, että poika saisi kaiken, joten hän myrkyttää hänet.	1
Minä luulen, että pystyt.	3
Painu töihin.	0
Yritän lukea, kulta.	0
Ei, ei, poika.	0
Isä, älä anna heidän viedä minua.	2
Luoja.	2
Miksi sitten silmäsi ovat märät?	5
Menen sun kouluusi ja...	0,1
Pumppukivääreitä on turha jättää tuonne lojumaan.	0
Meneehän se.	3
Nukea kehiin.	3
En suostu siihen.	0
Miten voit uskoa sitä?	0,5,6
Kuka muka?	0
Kaupungilla puhutaan.	0
Emme saisi. Juttu ei ole meidän.	2
He eivät tiedä paskaakaan.	1
Kierähdänkö selälleni, jotta voit rapsuttaa vatsaani?	1
Sen, millaista on olla isä.	3
Kun menimme asunnolleni - oliko minulla aavistustakaan, että liityit tähän kauppaan?	6
En pysty siihen.	5
En tiedä, mitä kieltä hän puhuu.	0
Mene lääkäriin.	2
Olit aika kova hänelle.	5,6
Venäläinen ystäväni on kirjoittanut tärkeän kirjan.	3
Hänen tunne-elämänsä on yhä epävakaa.	2
Kukaan ei halua lähteä Espanjaan.	5
Ei muuta kuin vatsa täyteen, niin heti ollaan niin rakastajaa.	3
Olet saanut kaiken liian helposti, etkä edes tajua sitä.	0
Elävää musiikkia.	3,6
Hän puhui paljon sinustakin.	3
Glasnost antaa kaikille oikeuden valittaa ja syyttää, mutta se ei tuota yhtään lisää kenkiä.	0
Perkele.	0
Rahalla saa kaikkea, eikö?	3
Maksoitko 50 dollaria tuosta hevosesta?	6
Pitää löytää kaatopaikka.	1
On ollut kunnia saada tuntea sinut.	3
Otatko kokaa?	1
Katso, se tapahtuu!	3
Lhmettelinkin äkillistä huomiota.	6
Eikö hän olekin suloinen?	3
Olen elänyt synnissä, isä.	2
Toivotamme iloa.	3
Kysymyksessä ei ollut huumeet tai raha.	1
Minun kaunis Bemarini!	0
Älä nyt viitsi, Cain.	0,1
Kukaan ei käy täällä.	5
Jumala kirotkoon teidät kaikki!	0,1
Tuolla on joku.	6
Päästiin niin saakelin lähelle!	0,1,3,6
Voitto kotiin.	3
Mielipiteilläsi ei ole väliä.	3
Tulkaa!	3
Oli hauska jutella.	3
Oksettaa.	1
Olen peloissani...	2
Älä sammuta sitä.	0
Toivottavasti heillä ei ole flunssaa.	2
Voisit valita seurasi paremmin.	1
Jos tuota lasta ei olisi adoptoitu, vannoisin, että hän on sinun poikasi.	3
Tämä järjestetään läheisellenne. Rouva Inglethorpin muistoksi.	5
Täällä ei sovi riidellä.	0
Käskekää upseerinne töihin.	0
Harva mies on niin ajattelematon ja jääräpäinen mutta hän ymmärsi kuitenkin että hovissa ei kannata hankkia vihamiehiä.	1
Ulos täältä!	0
Typerä ääliö.	1
Herra Calabrese oli harvinaisen hiljaa.	2,6
Sitten tajusin, mikä olet.	0,1
Ei, heillä on kaksi asetta.	0,2
Mieti tarkkaan.	2
Ei voi Iähettää sotilaita ja puhua rauhasta.	2,5,6
Miten saatoit tehdä sen?	0,1,2,5,6
Tykkään vieläkin, mutta miksi maksaa jollekin akalle yliluonnollisesta humpuukista, että näkee roikkuvat, ryppyiset läpät?	1
Ette saa tulla.	0
Pelkäämpä, että se ei ole yhteensattumaa.	2,5
Mä en pidä teeskentelystä.	0
Se tekee sinut onnettomaksi.	5
Me emme ole samalla puolella.	0
Menkää naimisiin!	0,3
Kiitoksia.	3
Antaisin suukon ellei se pilaisi maskiani.	3
Annan pidättää sinut.	0
Minä saatan kuolla, mutta Saatana ei saa voittaa.	2
Väitättekö te roisto olevanne lääkäri?	1
En ole yleensä näin heikko.	5
Mies, voitit parhaimmat.	3
Luulin aina pikku pikakirjoittajien tienaavan hyvin.	6
Mitä pirua...	6
Sinulla on rahat, veneet ja lentokoneet - ja tarvitset minua... elävänä.	0,2
Voiko olla parempaa uhria kuin pedon oma palvelija jonka löysimme pyhäksi sisareksi pukeutuneena?	1
Mr Lombino!	3
Muistan vain vähän lapsuudestani.	5
Saatanan kahva puuttuu!	0
Miksi pidät tuollaista meteliä?	0
Kuulostaa hienolta mieheltä.	6
Älä toni.	0,1
Mitä hittoa siellä tapahtuu?	0
Voi Dick, hän oli upea.	3
Hae se, niin kukaan ei loukkaannu.	0
Et sinä tunne häntä.	0
Häivytään tääItä!	2
Menkäähän siitä.	0
Mahtava homma.	3
Tämä on sinun iltasi.	3
Voit jäädä tänne tekemään raakoja ruokiasi.	1
Se ei ollut minun syytäni.	5
Ja kun en voinut vihata, vihani muuttui peloksi.	2
Mikä muilutus on?	0,2
Mikä hätänä, sisar?	2,6
Miksi hän minua kuuntelisi?	5
Haluan nähdä teidät hikoilemassa, kun tuomari julistaa päätöksensä.	0,1
Mikä vastaanotto.	6
Mitkään maailman mahat eivät riitä auttamaan teitä.	1
Huomioi minut nyt.	0
Voi, Phyllis!	3,6
Äpärät.	1
Voisin tehdä ihmeitä silvotulla ruumiillanne.	1
Tuliko selväksi?	0,1
Sinulla on varaa uusiin hampaisiin.	1
Onko siellä kaikki hyvin?	2
Elämämme ovat hiuskarvan varassa.	2
Olette apinoita!	0
Älä jätä minua.	5,6
Et halua minua riesaksesi.	0,5
Tuolla on kokonainen maailma.	3
Hellittäkää!	0,2
Täytyy käydä jokaisella maatilalla 30 km säteellä kerran kuussa.	1
Teidän olisi vain tarvinnut sanoa, että haluatte puhua konsulille.	6
Toivottavasti ette pelkää korkeita paikkoja.	2
Se riittää oikein hyvin.	3
Muistakaa pysyä paikoillanne.	2
Madame peruuttaa esityksen?	6
Harmaat miehet pilasivat ammattini, ja jos et varo, he pilaavat sinutkin.	0,2
Olet tosi suvaitseva, Cavanaugh!	6
Olet pieni ja heikko kuin tyttö.	1
Miksi olet täällä?	0
