Oli hauska tavata.	3,6
He sanovat, että jos pelle pääsee pakoon on osakkeenomistajien etu, että nöyryytyksen kantaa virkamies.	0,1
Saamme sopimuksen 1 0 hävittäjästä.	0
Näetkö, miten hyvä nainen hän on?	3,6
Liz, älä mene hänen luokseen!	0
Älä ole nenäkäs.	0,1
Vaimoni ei tarvitse vastata.	0
Hsiao Tsing?	6
Emme saa hukata aikaa.	2,5
Tämä on vasta alkua.	3,6
Puolustakaa itseänne!	0,2
Anteeksi, ehkä et halua seuraa.	0
Noidat himoitsevat ihmisen lihaa.	0,1,2,5
Nyt olen paljon rentoutuneempi.	0
Varakkaalle vaikuttajalle, jolle piti tehdä palvelus?	0,6
Mutta on liian myöhäistä?	6
Hän on mulkku.	1,3
Hauska nähdä teidät täällä.	0
Kirjoititteko minulle vai ette?	6
Ei mitään muttia.	0,1
Lopettakaa tuo ulvonta.	0
Tarvitsemme annoksen.	0,3
Lehmivarkaana tienaa hyvin.	3
Ei välittänyt muiden työstä.	0,5
Hankkisit sokean kepin.	0,1
Äkkiä!	0,3
En minä tästä ottelusta piittaa.	0,6
Minä olen kusessa.	0,2
Vauhtia!	0,2
Se on minun!	0,3
Kuulimme siitä jatkuvasti lakikoulussa. Hänen saavutuksistaan, hänen muististaan.	3
Hei, hieno taskulamppu.	0,1,6
Saat puristaa sen tiedon meistä.	0,1
Se päättäisi kaikesta ja veisi kaikki rahat.	0
Tyttö on minun!	0,3
Ei minun Picassoni.	1,3
Haasta Balboa otteluun.	0,3
Se on rohkeaa, mutta typerää.	3
Sinun on varmasti nälkä.	3
Mutta en minä osaa pelata baseballia.	3
Älkää mainitko Pearsonia hänelle.	0
Sinun on autettava meidät tääItä.	0,1
Minäkin näin, mutta hän elää.	5
Teitä ei tarvita täällä.	0
En halua sähkötuoliin tuon apinan ammuskelun takia!	0,2
Joku taitaa olla hyvällä tuulella.	1,3
Jos tuo oli huumoria, älkää vaivautuko.	0,1
Hän ei saa myöskään huudella ikkunoista.	0,1,5
Hyvin minä voin.	0,3
Joskus on pahempi jäädä kuin lähteä.	0
Onpa hän oikein hienostuneisuuden perikuva.	1,3
Nyt minä hoitelen tuon kakaran lopullisesti.	0
Olette liian peloissanne ottamaan yhtään riskejä!	0
Mutta mitä, jos sinulle sattuu jotain, Bastian?	0,6
Jos olisit pessyt hänen suunsa saippualla, kuten käskin... Meidän on aivan turha ruveta syyttelemään toisiamme.	0,1
Räjäytysaineen kiinnittämistä aluksen pohjaan.	0,2
lsä Mayii!	0
Leikkikö Lewis tosiaan täällä?	0,6
Se sattui.	0,1
Jos ette siihen mennessä - ole upseerienne kanssa matkalla töihin, - annan käskyn ampua.	0,2
Häivy, tai heitän sinut ulos.	0
Summa vastaa 10 vuoden palkkaanne kulutililtä kavalletut mukaan lukien.	0,1
Olen alan paras.	3
Mä en halua, että sä alat syyttää mua, poika, tiedäksä?	0
Lincoln ei vain ole enää entisensä.	0,5,6
Hän käski minua kumartumaan, kun pieksi vyöllään.	0,2,5
Eikö se ole teistä hauska?	0,2,6
Hänen piti tulla mukaamme.	0,5
Vahingoitat heitä psyykkisesti.	0,1,2
Jää vielä yhdeksi yöksi.	0,2
Se on onnellinen tapahtuma.	1,5
Isä, jos kuolet, meillä ei ole johtajaa.	5
Eikö olekin ihmeellistä?	0,2,6
En osaa sanoa mitään...	0
Näittekö kirjeen ensimmäistä kertaa Lissabonissa?	6
Miten voit olla niin tyly?	3,6
Ihmettelin hänen reaktiotaan - kunnes sain tietää, että hän omisti kyseiset 200 eekkeriä.	0
Idiootti!	0,1,6
Olisin antanut hänen tappaa sinut!	0,2
Vilpuri, jos kiitorata ei riitä...	0,2
Annoit avaimet tuntemattomalle, joka sattui mainitsemaan nimeni?	6
Mutta Sam on poissa.	1,2,5
Isken vaikka päähän sellaisella.	0,1
Onpa tämä yllätys.	0,2
Se oli vasta jotain.	0
Puolustaa tyhmiä eläimiä, naisia hädässä, eksyneitä lapsia ja toivottomia aatteita.	0,1
Oli todella hauskaa tavata teidät.	0
Terrorisminvastaiset joukkoni on koulutettu hoitamaan näitä tilanteita.	0,1,2
Rakkautesi ei kuitenkaan ylitä vallanhimoasi.	0,2,5
Tämä on koulun perustamispäivän ottelu.	3,6
En aikonut viipyä pitkään, niissä paikoissa on rajua väkeä.	2,5
Eikö olekin kiintoisa haaste?	0,6
Eikä siinä ole mukana Agnesin perintö.	3,6
Saan vielä potkut.	0,2
Etkö pidä heistä?	0,2,6
Sun pitäisi teeskennellä.	0,2
Eikö tämä ole outoa?	0,2,6
Sinussakin on roimasti tyyliä.	3
Tiesikö Raymond että hän otti lahjuksia?	0,6
Pitääko minun puhua hänelle?	0,6
Meneehän se.	0,2
En kestä tätä.	0,3
Olemme olleet onnellisia täällä.	0,5
