, ...	0
!	0,2,6
... And I don't think we need to discuss the Trinity any more .	0
* So get up out of your bed	0
A confession that you hired [PERSON] ... and are responsible for my father's murder .	0,5
A dead man has one half - hour to raise his roll outside and get back in the game .	0
A guy that's talking about he's gonna solve all your problems .	0
A guy who was a pain in the neck even before I carried his stuff .	0
A hundred of these are produced every day and sent to sweatshops where urban slaves prepare this poison for our friends , our loved ones , our children .	0,1
A lady wouldn't work for this outfit .	0
A little dicey doing a background on an FBI agent .	0
A little restraint ?	0
A little rush ?	0
A lost decade , but it was worth it to make your father pay for my loss .	0
A lot of junk all right ...	0
A lot of people are going to pay for this night .	0
A lot of you incumbents will be in danger of losing your seats .	0
A man is going to die .	0,5
A map's no good in the outback !	0
A perfect place to lose anybody , but this little doll's our cover story .	0
A traitor !	0,1
A woman who drinks is bad enough and I will not stand for a woman cursing and blaspheming God .	0,1
[PERSON] , why don't you just ... Lighten up .	0
About time !	0
Absolute disregard to not show up .	0
Acknowledge , over .	0
Acts of homicide and cannibalism reported through the afternoon are contributable , at least in part , to these reactivated bodies .	0,5
[PERSON] , I don't think it'd be so bad if I taught him how to throw a few ...	0
[PERSON] , what did I do ?	0
[PERSON] , where's the kid ?	0
After that , I don't care if you've found the Holy Grail .	0
After them ! After them !	0
After them ... slowly !	0
Ah , for fuck's sake , mate .	0
Ah ! - You should listen to your brother .	0,6
Ahem . Father brophy was very disturbed .	0,5
Ain't gonna get tied down with no girl .	0
Ain't much you can do about us .	0
Ain't nobody in the world gonna drive this except me .	0
Alas ... Scalpel .	0
[PERSON] , will you let me finish ?	0
All dead , you mean !	0
All hands to rescue stations !	0,2
All happened on your watch .	0,1
All I asked you is where the hell [PERSON] is .	0
All I can charge him with is riding on a train . They're gonna walk .	0
All I know is that I'd like to meet a member of the judiciary or a member of Congress that thinks that this situation , the status quo is satisfactory .	0,1
All I want to do is make things as difficult as possible .	0
All I'm saying is maybe all the child needs is to be loved .	0
All other movements are restricted .	0
All right , I will !	0
All right , next time I hear it , I am taking it away .	0
All right , not now , but you need to hear this .	0
All right , now , send that woman and her young ' uns out !	0
All right , [LOCATION] , that's enough .	0
All right , talk !	0
All right , what is it if I may ask , You do want to do ?	0
All right !	0,3
All right . I'll talk to [PERSON] .	0
All right . I've heard enough . I've heard enough .	0,1
All right . Let's go .	0
All that Latino macho shit .	0
All the officers were disloyal .	0,1,5,6
All this talk's just wasting time .	0
All those bottles , of sizes different , completely in the wrong order ...	0
All those guns and violence ...	0,1,2,5
All you have to do ... is point her out and look the other way .	0,1,6
All : Ohh , shit .	0,2
[PERSON] , what have you done my little sister ?	0
Alright , have it any way you want !	0,1
Alright , knock it off !	0
Altitude !	0
Altitude ? - Altitude . You want some altitude ?	0
Am I okay ? Everybody's worried sick about you .	0
Am I wrong , Lady ?	0
Amateur .	0,1
An executive order ...	0
An ... an accident ? Easy , [PERSON] , easy . Watch the rug .	0,2,6
And actresses are treated like I hate to use the word , but , shit .	0,1,2,5
And all that crap .	0
And [PERSON] , she won't help me to solve them .	0
And don't bother sending a bill , either !	0
And don't mess with nobody's girlfriend .	0
And don't try anything funny , cos you know what you'll get .	0
And don't waste none of his time , because he ain't staying around long .	0
And he waded in there with a lead pipe and he saved your ass and now you're going to deny him over his dead body ?	0
And how about translators ?	0
And how do you know that ?	0
And how is that different than all the times you risked me ?	0
And I ain't gonna repeat what he said .	0
And I can't get started .	0
And I dangled it in front of him and ripped it away .	0,1,6
And I don't care whether you go down with him or not .	0
And I don't share my husband with anyone !	0
And I fear no one , Especially an unholy spirit from an unsavory world .	0
And I hate the way you drive , and I hate your stinking whiskey breath .	0
And I hate these fucking doughnuts .	0,1
And I stormed out .	0
And I want a list of everybody's budgets , research accounts and financials on my desk by tomorrow .	0
And I want [PERSON] and [PERSON] ... dead !	0
And I'll have every gunboat in the Navy hunting ' ole Nemo .	0
And I'll see you in court in three weeks .	0
And I'm being asked to brief the CIA director on stuff because he and the president are being lied to ?	0,6
And I'm warning you .	0
And if I refuse to sign it ?	0
And if there was , I sure as hell wouldn't tell you , colonel .	0
And if they try to , they'll find you dead .	0
And if we could find it , it wouldn't have a tear .	0
And if you don't take me to my hotel , that means I have to walk .	0,5
And it changes because the people at the top forget how they got there .	0,1
And it is time that the [LOCATION] government started coming clean on what it's all about , because they're very important military and ...	0
And it's about you , and it's about [PERSON] , and it's about the drinking , and it's about all of it .	0
And just what do you want me to do ?	0
And let me remind you , we lost two key PA's in one day .	0
And now they've lost it .	0,3,5
And now this ?	0
And one other thing :	0
And runnin' late as usual .	0
And see that you get out of town .	0
And so will you .	0
And stop fidgeting .	0
And that they wouldn't hold Backpage responsible was very disturbing to me .	0
And that's my mother ... running away .	0,1,5
And that's why I don't wan na talk about it if I don't have to .	0
And the last time you were in my office , you told me you hadn't committed a crime to get the job done .	0
And the other time .	0,1
And the sociopaths that are in control of those programs can't be allowed to speak for planet [LOCATION] .	0,1,2
And then he says , l sure hope he was guilty .  Then he laughs . 	0,1,6
And then he'll run our lives and take our money .	0,2
And then I shot him .	0
And then I'm gonna get this right back .	0,3
And there's not a damn thing you can do about it , you understand me ?	0,5
And these people in the union are smarter than what they used to be .	0,1
And this spic , [PERSON] , what a fucking nut case .	0,1,6
And treat those two impostors Just the same ...  	0
And very heavily .	0
And w - what am I supposed to take your word for being worth ?	0,1
And we think it's actually their job and they're not doing it .	0
And we're finished playing the key cities .	0
And we're trapped .	0,6
And what does he want ?	0
And what makes you think that note would interest me ?	0
And what point is that ?	0
And what sort of rubbish are you turning out now ?	0
And what will you do then , [PERSON] ?	0
And when the next plane is shot down , make sure you get the names and ages of the innocent victims right .	0
And where I come from , you cut a deal with me to make sure I stop looking .	0
And whoever holds [LOCATION] points a dagger at the heart of [LOCATION] .	0
And you agree ?	0,1
And you also have to cross-modify your judgment that the entire universe was created just as the stage upon which the drama of the human development is unfolding .	0
And you can't make me .	0
And you think I don't ?	0,1
And you wan na know what else I think ?	0
And you were going to hate him for the rest of your life .	0
